fiyat,oda_salon,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle
4150000.0,2+1,130.0,120.0,21 Ve Üzeri,1.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,Zübeyde Hanım
1490000.0,2+1,120.0,100.0,5-10,,5.0,Kombi Doğalgaz,3.0,Esenyurt,Mehmet Akif Ersoy
2960000.0,2+1,120.0,100.0,5-10,,5.0,Kombi Doğalgaz,2.0,Beylikdüzü,Yakuplu
8350000.0,3+1,130.0,120.0,11-15,2.0,4.0,Kombi Doğalgaz,2.0,Ataşehir,İnönü
8400000.0,3+1,140.0,130.0,16-20,3.0,3.0,Kombi Doğalgaz,1.0,Ümraniye,Parseller
2599000.0,2+1,90.0,85.0,11-15,,5.0,Kombi Doğalgaz,1.0,Sultangazi,50. Yıl
4100000.0,2+1,95.0,90.0,5-10,,5.0,Kombi Doğalgaz,1.0,Sultangazi,Cebeci
4350000.0,2+1,110.0,100.0,21 Ve Üzeri,,5.0,Kombi Doğalgaz,1.0,Sultangazi,Sultançiftliği
3550000.0,2+1,90.0,85.0,5-10,,4.0,Kombi Doğalgaz,1.0,Küçükçekmece,Atatürk
7000000.0,2+1,90.0,70.0,0 (Yeni),7.0,8.0,Kombi Doğalgaz,2.0,Çekmeköy,Aydınlar
8350000.0,3+1,120.0,110.0,5-10,5.0,5.0,Kombi Doğalgaz,2.0,Sancaktepe,Yenidoğan
2650000.0,2+1,110.0,90.0,21 Ve Üzeri,3.0,7.0,Kombi Doğalgaz,1.0,Küçükçekmece,İnönü
11727000.0,2+1,110.0,87.0,0 (Yeni),6.0,8.0,Yerden Isıtma,2.0,Tuzla,Yayla
5567000.0,1+1,57.0,45.0,0 (Yeni),5.0,8.0,Yerden Isıtma,1.0,Tuzla,Yayla
2890000.0,2+1,95.0,85.0,21 Ve Üzeri,,5.0,Kombi Doğalgaz,1.0,Sultangazi,Yunus Emre
7800000.0,3+1,120.0,110.0,11-15,,4.0,Kombi Doğalgaz,2.0,Üsküdar,Valide-i Atik
7900000.0,3+1,140.0,130.0,11-15,1.0,3.0,Kombi Doğalgaz,2.0,Büyükçekmece,Atatürk
3195000.0,3+1,125.0,110.0,21 Ve Üzeri,3.0,4.0,Doğalgaz Sobalı,1.0,Bağcılar,Güneşli
2875000.0,3+1,200.0,180.0,11-15,,5.0,Kombi Doğalgaz,2.0,Sultangazi,Esentepe
3250000.0,1+1,60.0,50.0,21 Ve Üzeri,4.0,4.0,Kombi Doğalgaz,1.0,Zeytinburnu,Nuripaşa
6800000.0,2+1,100.0,90.0,0 (Yeni),6.0,6.0,Yerden Isıtma,1.0,Sultangazi,Gazi
4250000.0,2+1,85.0,80.0,5-10,,5.0,Kombi Doğalgaz,1.0,Sultangazi,Zübeyde Hanım
7850000.0,4+1,155.0,130.0,0 (Yeni),3.0,3.0,Kombi Doğalgaz,3.0,Bağcılar,15 Temmuz
2700000.0,2+1,100.0,95.0,11-15,2.0,5.0,Kombi Doğalgaz,1.0,Esenyurt,Pınar
3050000.0,2+1,95.0,80.0,11-15,4.0,4.0,Kombi Doğalgaz,1.0,Esenyurt,Çınar
2750000.0,2+1,115.0,85.0,11-15,1.0,5.0,Kombi Doğalgaz,1.0,Esenyurt,Güzelyurt
5500000.0,4+2,170.0,150.0,3,3.0,3.0,Kombi Doğalgaz,2.0,Esenyurt,Akçaburgaz
6850000.0,2+1,85.0,70.0,0 (Yeni),5.0,5.0,Yerden Isıtma,1.0,Sultangazi,Cebeci
5350000.0,2+1,93.0,80.0,0 (Yeni),3.0,5.0,Kombi Doğalgaz,1.0,Sultanbeyli,Yavuz Selim
8000000.0,4+1,160.0,140.0,3,3.0,3.0,Kombi Doğalgaz,1.0,Sancaktepe,Veysel Karani
